"Date","Firm","Action","Rating","Price Target","Price After One Year","TargetAchieved","Ticker"
2015-11-30,"Rosenblatt Securities","Reiterated Rating","Buy",112,102.809998,0,"ADBE"
2015-10-14,"Atlantic Securities","Upgrade","Overweight",97,107.839996,1,"ADBE"
2015-10-08,"Morgan Stanley","Reiterated Rating","Equal Weight",84,109.239998,1,"ADBE"
2015-10-07,"Evercore ISI","Lower Price Target","Buy",95,108.639999,1,"ADBE"
2015-10-07,"Credit Suisse Group","Lower Price Target","Neutral",65,108.639999,1,"ADBE"
2015-10-07,"J P Morgan Chase & Co","Reiterated Rating","Buy",95,108.639999,1,"ADBE"
2015-10-07,"Susquehanna Bancshares Inc","Boost Price Target","Positive",97,108.639999,1,"ADBE"
2015-10-07,"Deutsche Bank AG","Boost Price Target","Buy",90,108.639999,1,"ADBE"
2015-10-07,"FBR & Co","Boost Price Target","Hold",87,108.639999,1,"ADBE"
2015-10-02,"Royal Bank Of Canada","Reiterated Rating","Outperform",100,108.449997,1,"ADBE"
2015-09-21,"S&P Equity Research","Reiterated Rating","Hold",82,107.779999,1,"ADBE"
2015-09-18,"Credit Suisse Group","Reiterated Rating","Hold",75,99.68,1,"ADBE"
2015-09-18,"Evercore ISI","Boost Price Target","Buy",88,99.68,1,"ADBE"
2015-09-18,"Deutsche Bank AG","Reiterated Rating","Buy",85,99.68,1,"ADBE"
2015-09-18,"Jefferies Group LLC","Boost Price Target","Buy",92,99.68,1,"ADBE"
2015-09-15,"Morgan Stanley","Reiterated Rating","Equal Weight",80,99.620003,1,"ADBE"
2015-09-09,"Bank of America Corporation","Boost Price Target","Buy",95,99.379997,1,"ADBE"
2015-08-25,"Robert W. Baird","Upgrade","Outperform",85,101.690002,1,"ADBE"
2015-08-19,"Rosenblatt Securities","Boost Price Target","Buy",122,100.32,0,"ADBE"
2015-08-11,"Royal Bank Of Canada","Upgrade","Outperform",105,101.669998,0,"ADBE"
2015-07-06,"Sanford C. Bernstein","Reiterated Rating","Buy",103,95.18,0,"ADBE"
2015-07-02,"Pacific Crest","Reiterated Rating","Overweight",90,94.730003,1,"ADBE"
2015-06-22,"Argus","Boost Price Target","Buy",95,94.010002,0,"ADBE"
2015-06-20,"Morgan Stanley","Set Price Target","Hold",75,97.989998,1,"ADBE"
2015-06-20,"Credit Suisse Group","Set Price Target","Hold",75,97.989998,1,"ADBE"
2015-06-19,"S&P Equity Research","Lower Price Target","Hold",78,97.989998,1,"ADBE"
2015-06-18,"Citigroup Inc.","Boost Price Target","Buy",102,97.989998,0,"ADBE"
2015-06-18,"Rosenblatt Securities","Set Price Target","Buy",90,97.989998,1,"ADBE"
2015-06-18,"FBR & Co","Reiterated Rating","Market Perform",82,97.989998,1,"ADBE"
2015-06-17,"KeyCorp","Boost Price Target","Overweight",90,95.580002,1,"ADBE"
2015-06-17,"Pacific Crest","Boost Price Target","Overweight",90,95.580002,1,"ADBE"
2015-06-17,"J P Morgan Chase & Co","Reiterated Rating","Overweight",91,95.580002,1,"ADBE"
2015-06-17,"Pivotal Research","Lower Price Target","Buy",97,95.580002,0,"ADBE"
2015-06-17,"Jefferies Group LLC","Reiterated Rating","Buy",90,95.580002,1,"ADBE"
2015-06-12,"Royal Bank Of Canada","Boost Price Target","Sector Perform",88,96.959999,1,"ADBE"
2016-06-08,"Pacific Crest","Reiterated Rating","Buy",71,48.91,0,"AKAM"
2016-05-16,"Deutsche Bank AG","Reiterated Rating","Buy",72,49.150002,0,"AKAM"
2016-05-02,"B. Riley","Reiterated Rating","Buy",70,62.5,0,"AKAM"
2016-04-28,"FBR & Co","Reiterated Rating","Underperform",43,60.939999,0,"AKAM"
2016-04-27,"Robert W. Baird","Reiterated Rating","Outperform",60,59.75,0,"AKAM"
2016-04-27,"Royal Bank Of Canada","Lower Price Target","Sector Perform",59,59.75,1,"AKAM"
2016-04-27,"B. Riley","Reiterated Rating","Buy",70,59.75,0,"AKAM"
2016-04-25,"J P Morgan Chase & Co","Reiterated Rating","Hold",60,61.799999,1,"AKAM"
2016-04-14,"Deutsche Bank AG","Reiterated Rating","Buy",75,58.82,0,"AKAM"
2016-04-13,"B. Riley","Reiterated Rating","Buy",70,58.799999,0,"AKAM"
2016-04-08,"B. Riley","Reiterated Rating","Buy",70,58.509998,0,"AKAM"
2016-04-07,"Piper Jaffray Companies","Reiterated Rating","Overweight",69,58.099998,0,"AKAM"
2016-03-24,"Royal Bank Of Canada","Initiated Coverage","Sector Perform",62,63.630001,1,"AKAM"
2016-03-14,"Piper Jaffray Companies","Reiterated Rating","Overweight",69,63.630001,0,"AKAM"
2016-03-14,"B. Riley","Reiterated Rating","Buy",70,63.630001,0,"AKAM"
2016-03-09,"B. Riley","Reiterated Rating","Buy",70,64.199997,0,"AKAM"
2016-03-04,"B. Riley","Reiterated Rating","Buy",60,63.060001,1,"AKAM"
2016-02-16,"MKM Partners","Lower Price Target","Buy",69,64.239998,0,"AKAM"
2016-02-15,"B. Riley","Upgrade","Buy",60,63.900002,1,"AKAM"
2016-02-10,"Morgan Stanley","Reiterated Rating","Equal Weight",60,63.950001,1,"AKAM"
2016-02-10,"KeyCorp","Lower Price Target","Outperform",71,63.950001,0,"AKAM"
2016-02-10,"Robert W. Baird","Lower Price Target","Outperform",62,63.950001,1,"AKAM"
2016-02-10,"Pacific Crest","Lower Price Target","Overweight",71,63.950001,0,"AKAM"
2016-02-10,"Cowen and Company","Boost Price Target","Market Perform",56,63.950001,1,"AKAM"
2016-02-10,"J P Morgan Chase & Co","Lower Price Target","Neutral",60,63.950001,1,"AKAM"
2016-02-10,"Deutsche Bank AG","Lower Price Target","Buy",75,63.950001,0,"AKAM"
2016-02-10,"Craig Hallum","Upgrade","Buy",53,63.950001,1,"AKAM"
2016-02-10,"FBR & Co","Reiterated Rating","Underperform",42,63.950001,0,"AKAM"
2016-02-10,"Credit Suisse Group","Initiated Coverage","Neutral",45,63.950001,1,"AKAM"
2016-02-10,"B. Riley","Upgrade","Buy",60,63.950001,1,"AKAM"
2016-01-11,"Pacific Crest","Lower Price Target","Outperform",75,70.120003,0,"AKAM"
2016-01-11,"KeyCorp","Lower Price Target","Outperform",75,70.120003,0,"AKAM"
2015-12-15,"J P Morgan Chase & Co","Reiterated Rating","Neutral",65,67.580002,1,"AKAM"
2015-12-14,"Evercore ISI","Initiated Coverage","Buy",70,66.989998,0,"AKAM"
2015-12-04,"Piper Jaffray Companies","Reiterated Rating","Buy",72,64.309998,0,"AKAM"
2015-11-20,"Goldman Sachs Group, Inc. (The)","Downgrade","Sell",52,66.900002,0,"AKAM"
2015-11-13,"Wells Fargo & Co","Reiterated Rating","Market Perform",63.5,65.440002,1,"AKAM"
2015-11-02,"Craig Hallum","Boost Price Target","Buy",78,67.309998,0,"AKAM"
2015-11-02,"Canaccord Genuity","Boost Price Target","Buy",75,67.309998,0,"AKAM"
2015-11-02,"Macquarie","Lower Price Target","Neutral",65,67.309998,1,"AKAM"
2015-11-02,"B. Riley","Reiterated Rating","Neutral",64,67.309998,1,"AKAM"
2015-10-29,"MKM Partners","Lower Price Target","Buy",77,69.470001,0,"AKAM"
2015-10-29,"FBR & Co","Lower Price Target","Underperform",49,69.470001,0,"AKAM"
2015-10-28,"Deutsche Bank AG","Reiterated Rating","Buy",80,69.910004,0,"AKAM"
2015-10-28,"B. Riley","Reiterated Rating","Neutral",64,69.910004,1,"AKAM"
2015-10-28,"Robert W. Baird","Lower Price Target","Outperform",75,69.910004,0,"AKAM"
2015-10-28,"Pacific Crest","Downgrade","Buy",86,69.910004,0,"AKAM"
2015-10-28,"Cowen and Company","Downgrade","Market Perform",61.5,69.910004,1,"AKAM"
2015-10-28,"Morgan Stanley","Lower Price Target","Equal Weight",70,69.910004,0,"AKAM"
2015-10-28,"J P Morgan Chase & Co","Downgrade","Neutral",65,69.910004,1,"AKAM"
2015-10-28,"Canaccord Genuity","Downgrade","Hold",65,69.910004,1,"AKAM"
2015-10-28,"B. Riley","Lower Price Target","Neutral",64,69.910004,1,"AKAM"
2015-10-12,"Macquarie","Reiterated Rating","Hold",71,54.279999,0,"AKAM"
2015-09-11,"DA Davidson","Boost Price Target","Buy",90,53.09,0,"AKAM"
2015-08-31,"Deutsche Bank AG","Boost Price Target","Buy",80,54.900002,0,"AKAM"
2015-08-28,"JMP Securities","Upgrade","Outperform",85,55.040001,0,"AKAM"
2015-08-20,"KeyCorp","Initiated Coverage","Overweight",91,52.98,0,"AKAM"
2015-08-20,"Pacific Crest","Initiated Coverage","Overweight",91,52.98,0,"AKAM"
2015-08-01,"B. Riley","Reiterated Rating","Neutral",66,50.599998,0,"AKAM"
2015-07-30,"MKM Partners","Lower Price Target","Buy",85,50.599998,0,"AKAM"
2015-07-29,"Cowen and Company","Reiterated Rating","Outperform",75,50.529999,0,"AKAM"
2015-07-29,"Canaccord Genuity","Lower Price Target","Buy",75,50.529999,0,"AKAM"
2015-07-27,"B. Riley","Reiterated Rating","Neutral",68,50.509998,0,"AKAM"
2015-07-09,"Deutsche Bank AG","Lower Price Target","Buy",77,56.240002,0,"AKAM"
2016-06-07,"Barclays PLC","Lower Price Target","Equal Weight",165,100.139999,0,"ALXN"
2016-06-06,"Piper Jaffray Companies","Reiterated Rating","Buy",212,101.470001,0,"ALXN"
2016-06-06,"Credit Suisse Group","Reiterated Rating","Hold",186,101.470001,0,"ALXN"
2016-06-07,"Oppenheimer Holdings, Inc.","Reiterated Rating","Buy",221,100.139999,0,"ALXN"
2016-06-07,"BMO Capital Markets","Reiterated Rating","Buy",160,100.139999,0,"ALXN"
2016-06-07,"Morgan Stanley","Reiterated Rating","Overweight",189,100.139999,0,"ALXN"
2016-05-31,"Oppenheimer Holdings, Inc.","Reiterated Rating","Outperform",228,98.029999,0,"ALXN"
2016-05-12,"Leerink Swann","Reiterated Rating","Buy",210,120.080002,0,"ALXN"
2016-05-09,"Barclays PLC","Boost Price Target","Equal Weight",180,124.699997,0,"ALXN"
2016-04-29,"BMO Capital Markets","Upgrade","Outperform",168,131.589996,0,"ALXN"
2016-04-26,"Oppenheimer Holdings, Inc.","Reiterated Rating","Outperform",228,120.730003,0,"ALXN"
2016-04-08,"Morgan Stanley","Boost Price Target","",210,117.410004,0,"ALXN"
2016-04-06,"BMO Capital Markets","Initiated Coverage","Market Perform",165,115.489998,0,"ALXN"
2016-04-05,"Piper Jaffray Companies","Reiterated Rating","Buy",212,116.209999,0,"ALXN"
2016-04-01,"Morgan Stanley","Reiterated Rating","Buy",195,119.290001,0,"ALXN"
2016-03-19,"Leerink Swann","Reiterated Rating","Buy",216,120.199997,0,"ALXN"
2016-03-07,"Robert W. Baird","Downgrade","Neutral",170,129.179993,0,"ALXN"
2016-03-07,"Cowen and Company","Reiterated Rating","Buy",216,129.179993,0,"ALXN"
2016-02-25,"Citigroup Inc.","Initiated Coverage","Neutral",165,132.199997,0,"ALXN"
2016-02-22,"Goldman Sachs Group, Inc. (The)","Lower Price Target","",168,130.830002,0,"ALXN"
2016-02-08,"Jefferies Group LLC","Reiterated Rating","Hold",165,126.370003,0,"ALXN"
2016-02-06,"Leerink Swann","Reiterated Rating","Outperform",217,128.190002,0,"ALXN"
2016-02-05,"Bank of America Corporation","Reiterated Rating","Buy",204,128.190002,0,"ALXN"
2016-02-04,"Stifel Nicolaus","Lower Price Target","Buy",230,128.190002,0,"ALXN"
2016-02-04,"J P Morgan Chase & Co","Lower Price Target","",185,128.190002,0,"ALXN"
2016-02-04,"Jefferies Group LLC","Lower Price Target","Hold",165,128.190002,0,"ALXN"
2016-02-04,"Goldman Sachs Group, Inc. (The)","Lower Price Target","Neutral",186,128.190002,0,"ALXN"
2016-02-04,"Brean Capital","Reiterated Rating","Buy",221,128.190002,0,"ALXN"
2016-02-04,"Piper Jaffray Companies","Reiterated Rating","Overweight",212,128.190002,0,"ALXN"
2016-02-04,"Barclays PLC","Lower Price Target","Equal Weight",175,128.190002,0,"ALXN"
2016-01-19,"Credit Suisse Group","Initiated Coverage","Neutral",201,134.350006,0,"ALXN"
2016-01-06,"SunTrust Banks, Inc.","Initiated Coverage","Buy",225,143.610001,0,"ALXN"
2016-01-04,"Piper Jaffray Companies","Reiterated Rating","Buy",221,127.110001,0,"ALXN"
2015-12-11,"Piper Jaffray Companies","Reiterated Rating","Overweight",221,115.080002,0,"ALXN"
2015-12-11,"Brean Capital","Reiterated Rating","Buy",221,115.080002,0,"ALXN"
2015-12-11,"Stifel Nicolaus","Lower Price Target","Buy",245,115.080002,0,"ALXN"
2015-12-09,"Oppenheimer Holdings, Inc.","Reiterated Rating","Outperform",228,132.070007,0,"ALXN"
2015-11-03,"Cowen and Company","Reiterated Rating","Outperform",216,127.519997,0,"ALXN"
2015-11-01,"Piper Jaffray Companies","Reiterated Rating","Overweight",221,131.419998,0,"ALXN"
2015-10-28,"Robert W. Baird","Reiterated Rating","Outperform",221,135.589996,0,"ALXN"
2015-10-27,"Barclays PLC","Lower Price Target","Equal Weight",202,131.369995,0,"ALXN"
2015-10-26,"Oppenheimer Holdings, Inc.","Reiterated Rating","Buy",228,121.589996,0,"ALXN"
2015-10-26,"Piper Jaffray Companies","Reiterated Rating","Buy",235,121.589996,0,"ALXN"
2015-10-13,"Cowen and Company","Reiterated Rating","Outperform",216,119.610001,0,"ALXN"
2015-10-13,"Raymond James Financial, Inc.","Reiterated Rating","Strong-Buy",225,119.610001,0,"ALXN"
2015-10-02,"Morgan Stanley","Upgrade","Overweight",211,122.139999,0,"ALXN"
2015-09-24,"Oppenheimer Holdings, Inc.","Reiterated Rating","Buy",228,124.510002,0,"ALXN"
2015-09-14,"Barclays PLC","Downgrade","Equal Weight",205,129.419998,0,"ALXN"
2015-09-04,"Brean Capital","Reiterated Rating","Buy",221,125.849998,0,"ALXN"
2015-08-31,"Raymond James Financial, Inc.","Initiated Coverage","Strong-Buy",225,125.860001,0,"ALXN"
2015-08-04,"Deutsche Bank AG","Reiterated Rating","Buy",215,135.429993,0,"ALXN"
2015-07-31,"Stifel Nicolaus","Boost Price Target","Buy",257,133.5,0,"ALXN"
2015-07-31,"Brean Capital","Reiterated Rating","Buy",221,133.5,0,"ALXN"
2015-07-27,"J P Morgan Chase & Co","Initiated Coverage","Overweight",249,129.779999,0,"ALXN"
2015-07-23,"Piper Jaffray Companies","Reiterated Rating","Buy",235,127.459999,0,"ALXN"
2015-07-20,"Goldman Sachs Group, Inc. (The)","Boost Price Target","Neutral",202,126.93,0,"ALXN"
2015-07-02,"Barclays PLC","Reiterated Rating","Overweight",205,117.639999,0,"ALXN"
2015-06-23,"Sanford C. Bernstein","Set Price Target","Buy",267,123.57,0,"ALXN"
2015-06-18,"Leerink Swann","Reiterated Rating","Outperform",224,123.959999,0,"ALXN"
2016-06-08,"Bank of America Corporation","Reiterated Rating","Buy",925,1004.280029,1,"GOOGL"
2016-06-08,"Morgan Stanley","Boost Price Target","Overweight",865,1004.280029,1,"GOOGL"
2016-06-08,"Maxim Group","Lower Price Target","Overweight",850,1004.280029,1,"GOOGL"
2016-06-02,"Citigroup Inc.","Reiterated Rating","Buy",900,996.119995,1,"GOOGL"
2016-05-26,"BMO Capital Markets","Reiterated Rating","Outperform",925,993.27002,1,"GOOGL"
2016-05-24,"Credit Suisse Group","Reiterated Rating","Buy",920,977.609985,1,"GOOGL"
2016-05-22,"Cantor Fitzgerald","Reiterated Rating","Buy",940,964.070007,1,"GOOGL"
2016-05-19,"Royal Bank Of Canada","Reiterated Rating","Buy",1000,954.650024,0,"GOOGL"
2016-05-19,"Jefferies Group LLC","Reiterated Rating","Buy",925,954.650024,1,"GOOGL"
2016-05-16,"Piper Jaffray Companies","Reiterated Rating","Buy",911,964.609985,1,"GOOGL"
2016-05-16,"Bank of America Corporation","Reiterated Rating","Buy",925,964.609985,1,"GOOGL"
2016-05-13,"MKM Partners","Lower Price Target","Buy",930,959.219971,1,"GOOGL"
2016-05-04,"Axiom Securities","Reiterated Rating","Buy",1001,954.719971,0,"GOOGL"
2016-04-27,"B. Riley","Reiterated Rating","Buy",875,891.440002,1,"GOOGL"
2016-04-25,"Cantor Fitzgerald","Lower Price Target","Buy",940,888.840027,0,"GOOGL"
2016-04-23,"Deutsche Bank AG","Reiterated Rating","Buy",1100,878.929993,0,"GOOGL"
2016-04-23,"Needham & Company LLC","Reiterated Rating","Buy",825,878.929993,1,"GOOGL"
2016-04-22,"FBN Securities","Lower Price Target","Outperform",875,878.929993,1,"GOOGL"
2016-04-22,"Robert W. Baird","Lower Price Target","Outperform",860,878.929993,1,"GOOGL"
2016-04-22,"Macquarie","Boost Price Target","Buy",890,878.929993,0,"GOOGL"
2016-04-22,"JMP Securities","Lower Price Target","Market Outperform",904,878.929993,0,"GOOGL"
2016-04-22,"Oppenheimer Holdings, Inc.","Lower Price Target","Outperform",958,878.929993,0,"GOOGL"
2016-04-22,"SunTrust Banks, Inc.","Lower Price Target","Buy",850,878.929993,1,"GOOGL"
2016-04-22,"Morgan Stanley","Lower Price Target","Overweight",850,878.929993,1,"GOOGL"
